user_id,movie_id,movie_name,rating
52,8,The Matrix,5
21,7,Fight Club,2
83,7,Fight Club,3
75,8,The Matrix,5
100,8,The Matrix,3
22,5,Forrest Gump,2
88,6,Inception,2
64,5,Forrest Gump,1
76,10,The Lord of the Rings: The Return of the King,5
89,1,The Shawshank Redemption,3
59,10,The Lord of the Rings: The Return of the King,4
60,3,The Dark Knight,4
55,4,Pulp Fiction,1
3,5,Forrest Gump,3
7,5,Forrest Gump,1
39,2,The Godfather,4
89,2,The Godfather,2
9,10,The Lord of the Rings: The Return of the King,5
2,4,Pulp Fiction,4
60,7,Fight Club,4
8,3,The Dark Knight,1
36,2,The Godfather,4
2,6,Inception,2
4,6,Inception,5
63,2,The Godfather,2
44,2,The Godfather,2
62,4,Pulp Fiction,4
62,8,The Matrix,5
80,2,The Godfather,5
24,10,The Lord of the Rings: The Return of the King,1
60,9,Goodfellas,5
15,1,The Shawshank Redemption,1
71,9,Goodfellas,1
8,8,The Matrix,3
81,8,The Matrix,3
35,1,The Shawshank Redemption,3
5,10,The Lord of the Rings: The Return of the King,2
41,7,Fight Club,1
72,2,The Godfather,1
48,7,Fight Club,5
99,8,The Matrix,3
35,1,The Shawshank Redemption,3
47,3,The Dark Knight,1
5,10,The Lord of the Rings: The Return of the King,3
9,10,The Lord of the Rings: The Return of the King,2
77,3,The Dark Knight,1
52,4,Pulp Fiction,5
23,7,Fight Club,5
15,4,Pulp Fiction,5
32,7,Fight Club,3
86,2,The Godfather,2
45,9,Goodfellas,5
6,4,Pulp Fiction,3
92,9,Goodfellas,1
1,9,Goodfellas,3
62,9,Goodfellas,4
77,9,Goodfellas,3
70,8,The Matrix,3
9,5,Forrest Gump,1
51,10,The Lord of the Rings: The Return of the King,4
24,6,Inception,1
52,1,The Shawshank Redemption,1
58,4,Pulp Fiction,4
39,2,The Godfather,3
56,1,The Shawshank Redemption,3
2,2,The Godfather,4
54,7,Fight Club,5
96,1,The Shawshank Redemption,1
19,2,The Godfather,5
44,10,The Lord of the Rings: The Return of the King,4
55,8,The Matrix,3
17,6,Inception,5
98,6,Inception,3
16,1,The Shawshank Redemption,1
59,6,Inception,5
3,4,Pulp Fiction,4
59,4,Pulp Fiction,3
90,3,The Dark Knight,3
20,7,Fight Club,4
33,8,The Matrix,2
1,9,Goodfellas,1
50,7,Fight Club,2
99,7,Fight Club,4
16,10,The Lord of the Rings: The Return of the King,1
60,1,The Shawshank Redemption,2
1,5,Forrest Gump,5
32,7,Fight Club,1
99,3,The Dark Knight,3
20,8,The Matrix,1
24,4,Pulp Fiction,3
72,4,Pulp Fiction,4
99,9,Goodfellas,3
25,2,The Godfather,2
66,6,Inception,3
80,9,Goodfellas,4
33,4,Pulp Fiction,1
14,5,Forrest Gump,4
8,7,Fight Club,3
17,1,The Shawshank Redemption,4
59,3,The Dark Knight,5
51,6,Inception,3
27,2,The Godfather,5
30,1,The Shawshank Redemption,4
64,1,The Shawshank Redemption,5
61,3,The Dark Knight,4
35,1,The Shawshank Redemption,1
44,5,Forrest Gump,3
37,8,The Matrix,5
46,5,Forrest Gump,3
60,1,The Shawshank Redemption,4
63,5,Forrest Gump,1
67,2,The Godfather,1
95,6,Inception,2
67,8,The Matrix,2
32,6,Inception,2
27,10,The Lord of the Rings: The Return of the King,2
90,1,The Shawshank Redemption,1
9,6,Inception,5
42,7,Fight Club,2
99,2,The Godfather,1
24,10,The Lord of the Rings: The Return of the King,1
36,4,Pulp Fiction,1
8,3,The Dark Knight,4
98,2,The Godfather,3
25,10,The Lord of the Rings: The Return of the King,5
22,10,The Lord of the Rings: The Return of the King,2
86,1,The Shawshank Redemption,4
42,6,Inception,3
60,5,Forrest Gump,1
8,5,Forrest Gump,4
5,7,Fight Club,4
6,4,Pulp Fiction,3
55,8,The Matrix,4
16,2,The Godfather,4
30,3,The Dark Knight,1
63,3,The Dark Knight,4
58,7,Fight Club,2
90,5,Forrest Gump,1
12,5,Forrest Gump,1
58,10,The Lord of the Rings: The Return of the King,1
34,6,Inception,1
1,7,Fight Club,5
22,7,Fight Club,3
76,10,The Lord of the Rings: The Return of the King,3
86,9,Goodfellas,5
78,5,Forrest Gump,1
94,4,Pulp Fiction,5
76,10,The Lord of the Rings: The Return of the King,2
48,5,Forrest Gump,4
33,5,Forrest Gump,2
10,6,Inception,5
100,2,The Godfather,4
95,10,The Lord of the Rings: The Return of the King,2
19,10,The Lord of the Rings: The Return of the King,1
69,4,Pulp Fiction,2
92,4,Pulp Fiction,4
50,3,The Dark Knight,4
33,1,The Shawshank Redemption,5
51,5,Forrest Gump,4
67,1,The Shawshank Redemption,1
40,10,The Lord of the Rings: The Return of the King,3
44,2,The Godfather,5
35,7,Fight Club,1
90,8,The Matrix,5
26,10,The Lord of the Rings: The Return of the King,2
34,3,The Dark Knight,1
7,4,Pulp Fiction,2
75,8,The Matrix,4
89,5,Forrest Gump,5
36,10,The Lord of the Rings: The Return of the King,5
73,8,The Matrix,3
49,3,The Dark Knight,4
82,1,The Shawshank Redemption,5
12,1,The Shawshank Redemption,5
23,9,Goodfellas,3
30,1,The Shawshank Redemption,1
62,4,Pulp Fiction,1
86,3,The Dark Knight,1
100,9,Goodfellas,3
76,9,Goodfellas,4
78,4,Pulp Fiction,3
16,5,Forrest Gump,5
99,9,Goodfellas,4
85,4,Pulp Fiction,5
23,9,Goodfellas,5
53,10,The Lord of the Rings: The Return of the King,2
39,10,The Lord of the Rings: The Return of the King,5
35,7,Fight Club,5
75,2,The Godfather,4
9,10,The Lord of the Rings: The Return of the King,2
17,6,Inception,5
40,10,The Lord of the Rings: The Return of the King,1
50,10,The Lord of the Rings: The Return of the King,2
5,5,Forrest Gump,3
8,1,The Shawshank Redemption,4
17,7,Fight Club,1
45,4,Pulp Fiction,4
70,3,The Dark Knight,5
54,7,Fight Club,3
74,10,The Lord of the Rings: The Return of the King,3
39,3,The Dark Knight,5
13,2,The Godfather,4
58,4,Pulp Fiction,4
72,9,Goodfellas,1
3,9,Goodfellas,4
25,8,The Matrix,1
38,5,Forrest Gump,2
44,5,Forrest Gump,5
75,5,Forrest Gump,4
99,3,The Dark Knight,4
57,2,The Godfather,1
49,1,The Shawshank Redemption,5
54,6,Inception,3
16,7,Fight Club,1
75,10,The Lord of the Rings: The Return of the King,4
24,5,Forrest Gump,2
92,4,Pulp Fiction,2
8,10,The Lord of the Rings: The Return of the King,4
50,5,Forrest Gump,1
100,6,Inception,1
73,1,The Shawshank Redemption,5
84,3,The Dark Knight,5
6,2,The Godfather,3
69,9,Goodfellas,2
10,8,The Matrix,2
5,7,Fight Club,1
65,2,The Godfather,1
11,5,Forrest Gump,2
63,9,Goodfellas,3
27,1,The Shawshank Redemption,5
33,2,The Godfather,1
99,1,The Shawshank Redemption,5
55,6,Inception,4
81,5,Forrest Gump,5
3,5,Forrest Gump,5
53,5,Forrest Gump,2
74,3,The Dark Knight,1
85,9,Goodfellas,1
51,4,Pulp Fiction,1
32,2,The Godfather,4
